username,principal_id,access_key_id,department
john.smith,AIDAEXAMPLE1JSMITH01,AKIAEXAMPLE1JSMITH01,Engineering
sarah.jones,AIDAEXAMPLE2SJONES01,AKIAEXAMPLE2SJONES01,Engineering
michael.chen,AIDAEXAMPLE3MCHEN001,AKIAEXAMPLE3MCHEN001,DevOps
emily.davis,AIDAEXAMPLE4EDAVIS01,AKIAEXAMPLE4EDAVIS01,Security
robert.wilson,AIDAEXAMPLE5RWILSO01,AKIAEXAMPLE5RWILSO01,DevOps
anna.mueller,AIDAEXAMPLE6AMUELL01,AKIAEXAMPLE6AMUELL01,Engineering
david.park,AIDAEXAMPLE7DPARK001,AKIAEXAMPLE7DPARK001,Data
lisa.taylor,AIDAEXAMPLE8LTAYLO01,AKIAEXAMPLE8LTAYLO01,Platform
james.brown,AIDAEXAMPLE9JBROWN01,AKIAEXAMPLE9JBROWN01,QA
maria.garcia,AIDAEXAMPLEBMGARCI01,AKIAEXAMPLEBMGARCI01,Product
