username,upn,sid,object_id,is_admin
jsmith,jsmith@contoso.com,S-1-5-21-57989841-2025429265-839522115-329672,a1b2c3d4-e5f6-7890-abcd-ef1234567890,false
mwilson,mwilson@contoso.com,S-1-5-21-57989841-2025429265-839522115-330145,5822c34d-bf88-6fe5-b04c-178e5845f2c6,false
lchen,lchen@contoso.com,S-1-5-21-57989841-2025429265-839522115-330598,8155f670-e2bb-92b8-e37f-4ab1b178c5f9,false
agarcia,agarcia@contoso.com,S-1-5-21-57989841-2025429265-839522115-331050,c4d5e6f7-a8b9-0123-cdef-234567890abc,false
rpatel,rpatel@contoso.com,S-1-5-21-57989841-2025429265-839522115-331200,d5e6f7a8-b9c0-1234-defa-345678901bcd,false
tnguyen,tnguyen@contoso.com,S-1-5-21-57989841-2025429265-839522115-331350,e6f7a8b9-c0d1-2345-efab-4567890abcde,false
kbrown,kbrown@contoso.com,S-1-5-21-57989841-2025429265-839522115-331500,f7a8b9c0-d1e2-3456-fabc-56789abcdef0,false
dkim,dkim@contoso.com,S-1-5-21-57989841-2025429265-839522115-331650,08b9c0d1-e2f3-4567-abcd-6789abcdef01,false
jlee,jlee@contoso.com,S-1-5-21-57989841-2025429265-839522115-331800,19c0d1e2-f3a4-5678-bcde-789abcdef012,false
mrodriguez,mrodriguez@contoso.com,S-1-5-21-57989841-2025429265-839522115-331950,2ad1e2f3-a4b5-6789-cdef-89abcdef0123,false
admin-jsmith,admin-jsmith@contoso.com,S-1-5-21-57989841-2025429265-839522115-500100,3be2f3a4-b5c6-7890-defa-9abcdef01234,true
admin-mwilson,admin-mwilson@contoso.com,S-1-5-21-57989841-2025429265-839522115-500200,4cf3a4b5-c6d7-8901-efab-abcdef012345,true
admin-lchen,admin-lchen@contoso.com,S-1-5-21-57989841-2025429265-839522115-500300,5da4b5c6-d7e8-9012-fabc-bcdef0123456,true
svc-backup,svc-backup@contoso.com,S-1-5-21-57989841-2025429265-839522115-331100,c599dab4-26ff-d6fc-27b3-8ef5f5bc09d3,false
svc-sql,svc-sql@contoso.com,S-1-5-21-57989841-2025429265-839522115-331250,6eb5c6d7-e8f9-0123-abcd-cdef01234567,false
svc-web,svc-web@contoso.com,S-1-5-21-57989841-2025429265-839522115-331400,7fc6d7e8-f9a0-1234-bcde-def012345678,false
svc-exchange,svc-exchange@contoso.com,S-1-5-21-57989841-2025429265-839522115-331550,80d7e8f9-a0b1-2345-cdef-ef0123456789,false
svc-monitor,svc-monitor@contoso.com,S-1-5-21-57989841-2025429265-839522115-331700,91e8f9a0-b1c2-3456-defa-f01234567890,false
system,,S-1-5-18,00000000-0000-0000-0000-000000000000,false
local service,,S-1-5-19,00000000-0000-0000-0000-000000000001,false
network service,,S-1-5-20,00000000-0000-0000-0000-000000000002,false
