username,full_name,department
jsmith,John Smith,Engineering
mjohnson,Mary Johnson,Marketing
rwilliams,Robert Williams,Finance
abrown,Alice Brown,Engineering
dgarcia,David Garcia,Sales
lmartinez,Lisa Martinez,Human Resources
jdavis,James Davis,IT
swilson,Sarah Wilson,Engineering
manderson,Michael Anderson,Finance
kthomas,Karen Thomas,Marketing
ctaylor,Chris Taylor,IT
nlee,Nancy Lee,Engineering
bharris,Brian Harris,Sales
jclark,Jennifer Clark,Legal
pwright,Patrick Wright,Engineering
elopez,Emily Lopez,Human Resources
mhill,Mark Hill,Finance
rscott,Rachel Scott,Marketing
tking,Timothy King,IT
aadams,Amy Adams,Engineering
dmorris,Daniel Morris,Sales
krobinson,Katherine Robinson,Legal
jmitchell,Jason Mitchell,Engineering
lcampbell,Laura Campbell,Finance
wperez,William Perez,IT
