username,full_name,department
ivanov,Иванов Алексей,ИТ-отдел
petrov,Петров Дмитрий,Бухгалтерия
sidorova,Сидорова Елена,Кадры
kuznetsov,Кузнецов Сергей,Инженерный отдел
smirnova,Смирнова Ольга,Юридический отдел
fedorov,Федоров Андрей,ИТ-отдел
novikova,Новикова Мария,Маркетинг
morozov,Морозов Игорь,Финансы
volkova,Волкова Анна,Инженерный отдел
sokolov,Соколов Павел,ИТ-отдел
kozlova,Козлова Татьяна,Бухгалтерия
lebedev,Лебедев Николай,Безопасность
egorov,Егоров Виктор,Инженерный отдел
pavlova,Павлова Ирина,Кадры
semenov,Семенов Максим,ИТ-отдел
tikhonov,Тихонов Роман,Финансы
grigorieva,Григорьева Наталья,Маркетинг
belov,Белов Артем,Инженерный отдел
zakharova,Захарова Светлана,Юридический отдел
orlov,Орлов Константин,Безопасность
